Pri_Sub_Pos,Pri_Sub_Neu,Pri_Sub_Neg,Pri_Sub_Urg_Pos,Pri_Sub_Urg_Neu,Pri_Sub_Urg_Neg
None,None,None,None,None,None
None,None,None,None,None,None
0.00027,0.00032,0.00047,0.0004,7.00E-05,0.0005
0.00038,0.00011,0.00033,0.00028,0.00028,6.00E-05
1.00E-04,0.00022,0.00016,0.00032,5.00E-05,5.00E-05
0.00034,3.00E-05,0.0004,0.0004,0.00027,0.00027
0.0003,7.00E-05,0.00031,0.0003,1.00E-04,0.00017
0.00055,0.00028,1.00E-05,0.00011,0.00048,0.00025
8.00E-05,0.00018,0.00017,4.00E-05,0.00045,0.00074
0.00011,0.00016,0.00045,0.00056,1.00E-04,0.00014
0.00015,0.00017,0.00045,0.00033,None,5.00E-05
0.00016,0.00018,0.00021,0.00038,None,0.00053
0.00043,7.00E-05,7.00E-05,6.00E-05,None,1.00E-04
0.00061,7.00E-05,0.00011,1.00E-05,None,0.00036
0.00031,7.00E-05,1.00E-04,0.00025,None,7.00E-05
0.00041,8.00E-05,0.00065,0.00022,0.00044,0.00044
0.00015,0.00045,0.00088,0.00017,0.00019,0.00011
2.00E-05,0.00025,0.00254,0.00016,9.00E-05,0.00016
0.00012,0.00018,0.00016,0.00017,0,7.00E-05
0.00017,0.00066,0.00035,0.00015,6.00E-05,3.00E-05
0.00072,0.00038,0.0002,0.0002,0.00016,0.00026
0.00012,0.00042,0.00016,0.00025,0.00054,0.00017
0.00044,0.00043,6.00E-05,1.00E-04,9.00E-05,0.00118
0.00023,0.00045,0.00012,0.00032,0.00142,0.00101
5.00E-05,0.0002,0.00055,0.00023,9.00E-05,0.00047
0.00013,0.00037,0.00018,0.00025,0.00013,0.00111
0.00078,0.00023,5.00E-05,9.00E-05,3.00E-05,0.00089
1.00E-04,0.00011,4.00E-05,0.00067,0.00018,0.00028
0.00028,0.00011,0.0002,0.0002,0.00019,0.00016
0.00014,0.00027,0.0002,0.00014,1.00E-04,5.00E-05
0.00012,0.00024,0.00017,0.00011,6.00E-05,7.00E-05
0.00014,0.00012,0.00115,0.00042,0.00046,0.00026
0.00055,0.0007,0.00029,0.00036,3.00E-05,0.00021
7.00E-05,0.00035,0.00033,6.00E-05,0.00035,0.00076
