SYMBOL,DATE_TIME,OPEN,HIGH,LOW,LAST,NUM_TRADES,BID,ASK,QUOTE_DATE,QUOTIM,QUOTEID
USD/JPY,"2018-11-21 17:25:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:25:00,6746593
USD/JPY,"2018-11-21 17:26:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:26:05,6746600
USD/JPY,"2018-11-21 17:27:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:27:05,6746607
USD/JPY,"2018-11-21 17:28:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:28:00,6746614
USD/JPY,"2018-11-21 17:29:11",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:29:11,6746621
USD/JPY,"2018-11-21 17:30:35",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:30:35,6746628
USD/JPY,"2018-11-21 17:31:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:31:00,6746635
USD/JPY,"2018-11-21 17:32:07",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:32:07,6746642
USD/JPY,"2018-11-21 17:33:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:33:00,6746649
USD/JPY,"2018-11-21 17:34:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:34:00,6746656
USD/JPY,"2018-11-21 17:35:29",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:35:29,6746663
USD/JPY,"2018-11-21 17:36:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:36:00,6746669
USD/JPY,"2018-11-21 17:37:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:37:05,6746677
USD/JPY,"2018-11-21 17:38:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:38:00,6746683
USD/JPY,"2018-11-21 17:39:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:39:05,6746689
USD/JPY,"2018-11-21 17:42:00",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:42:00,6746696
USD/JPY,"2018-11-21 17:43:05",NULL,112.715,112.715,NULL,NULL,112.7,112.73,2018-11-21,17:43:05,6746702
